text,labels
"The cluster randomized trial with a concurrent economic evaluation is considered the gold standard evaluative design for the conduct of implementation research evaluating different strategies to promote the transfer of research findings into clinical practice. This has implications for the planning of such studies, as information is needed on the effects of clustering on both effectiveness and efficiency outcomes. This paper describes the design considerations specific to implementation research studies, focusing particularly on the estimation of sample size requirements and on the need for reliable information on intracluster correlation coefficients for both effectiveness and efficiency outcomes.-Cluster trials in implementation research: estimation of intracluster correlation coefficients and sample size.",1
Partially Nested Randomized Controlled Trials in Education Research: A Guide to Design and Analysis,2
"Inflammation has been implicated in ovarian carcinogenesis. However, studies investigating the association between pelvic inflammatory disease (PID) and ovarian cancer risk are few and inconsistent. We investigated the association between PID and the risk of epithelial ovarian cancer according to tumor behavior and histotype. We pooled data from 13 case-control studies, conducted between 1989 and 2009, from the Ovarian Cancer Association Consortium (OCAC), including 9,162 women with ovarian cancers, 2,354 women with borderline tumors, and 14,736 control participants. Study-specific odds ratios were estimated and subsequently combined into a pooled odds ratio using a random-effects model. A history of PID was associated with an increased risk of borderline tumors (pooled odds ratio (pOR) =?1.32, 95% confidence interval (CI): 1.10, 1.58). Women with at least 2 episodes of PID had a 2-fold increased risk of borderline tumors (pOR?=?2.14, 95% CI: 1.08, 4.24). No association was observed between PID and ovarian cancer risk overall (pOR?=?0.99, 95% CI: 0.83, 1.19); however, a statistically nonsignificantly increased risk of low-grade serous tumors (pOR?=?1.48, 95% CI: 0.92, 2.38) was noted. In conclusion, PID was associated with an increased risk of borderline ovarian tumors, particularly among women who had had multiple episodes of PID. Although our results indicated a histotype-specific association with PID, the association of PID with ovarian cancer risk is still somewhat uncertain and requires further investigation.-Pelvic Inflammatory Disease and the Risk of Ovarian Cancer and Borderline Ovarian Tumors: A Pooled Analysis of 13 Case-Control Studies.",0
"Background Cluster randomized trials have been utilized to evaluate the effectiveness of HIV prevention strategies on reducing incidence. Design of such studies must take into account possible correlation of outcomes within randomized units. Purpose To discuss power and sample size considerations for cluster randomized trials of combination HIV prevention, using an HIV prevention study in Botswana as an illustration. Methods We introduce a new agent-based model to simulate the community-level impact of a combination prevention strategy and investigate how correlation structure within a community affects the coefficient of variation - an essential parameter in designing a cluster randomized trial. Results We construct collections of sexual networks and then propagate HIV on them to simulate the disease epidemic. Increasing level of sexual mixing between intervention and standard-of-care (SOC) communities reduces the difference in cumulative incidence in the two sets of communities. Fifteen clusters per arm and 500 incidence cohort members per community provide 95% power to detect the projected difference in cumulative HIV incidence between SOC and intervention communities (3.93% and 2.34%) at the end of the third study year, using a coefficient of variation 0.25. Although available formulas for calculating sample size for cluster randomized trials can be derived by assuming an exchangeable correlation structure within clusters, we show that deviations from this assumption do not generally affect the validity of such formulas. Limitations We construct sexual networks based on data from Likoma Island, Malawi, and base disease progression on longitudinal estimates from an incidence cohort in Botswana and in Durban as well as a household survey in Mochudi, Botswana. Network data from Botswana and larger sample sizes to estimate rates of disease progression would be useful in assessing the robustness of our model results. Conclusion Epidemic modeling plays a critical role in planning and evaluating interventions for prevention. Simulation studies allow us to take into consideration available information on sexual network characteristics, such as mixing within and between communities as well as coverage levels for different prevention modalities in the combination prevention package.-Sample size considerations in the design of cluster randomized trials of combination HIV prevention.",1
"Cluster randomized and multicentre trials evaluate the effect of a treatment on persons nested within clusters, for instance, patients within clinics or pupils within schools. Optimal sample sizes at the cluster (centre) and person level have been derived under the restrictive assumption of equal sample sizes per cluster. This paper addresses the relative efficiency of unequal versus equal cluster sizes in case of cluster randomization and person randomization within clusters. Starting from maximum likelihood parameter estimation, the relative efficiency is investigated numerically for a range of cluster size distributions. An approximate formula is presented for computing the relative efficiency as a function of the mean and variance of cluster size and the intraclass correlation, which can be used for adjusting the sample size. The accuracy of this formula is checked against the numerical results and found to be quite good. It is concluded that the loss of efficiency due to variation of cluster sizes rarely exceeds 10 per cent and can be compensated by sampling 11 per cent more clusters.-Relative efficiency of unequal versus equal cluster sizes in cluster randomized and multicentre trials.",1
"and This article describes several ethical, legal, and social issues typical of international genetics biobanking, as encountered in the Type 1 Diabetes Genetics Consortium (T1DGC). By studying the examples set and lessons learned from other international biobanking studies and by devoting considerable time and resources to identifying, addressing, and continually monitoring ethical and regulatory concerns, T1DGC was able to minimize the problems reported by some earlier studies. Several important conclusions can be drawn based on the experience in this study: (1) Basic international standards for research ethics review and informed consent are broadly consistent across developed countries. (2) When consent forms are adapted locally and translated into different languages, discrepancies are inevitable and therefore require prompt central review and resolution before research is initiated. (3) Providing separate 'check-box' consent for different elements of a study creates confusion and may not be essential. (4) Creating immortalized cell lines to aid future research is broadly acceptable, both in the US and internationally. (5) Imposing some limits on the use of stored samples aids in obtaining ethics approvals worldwide. (6) Allowing potential commercial uses of donated samples is controversial in some Asian countries. (7) Obtaining government approvals can be labor-intensive and time-consuming, and can require legal and diplomatic skills.-Biobanking, consent, and commercialization in international genetics research: the Type 1 Diabetes Genetics Consortium.",0
"In many studies, it is of interest to predict the future trajectory of subjects based on their historical data, referred to as dynamic prediction. Mixed effects models have traditionally been used for dynamic prediction. However, the commonly used random intercept and slope model is often not sufficiently flexible for modeling subject-specific trajectories. In addition, there may be useful exposures/predictors of interest that are measured concurrently with the outcome, complicating dynamic prediction. To address these problems, we propose a dynamic functional concurrent regression model to handle the case where both the functional response and the functional predictors are irregularly measured. Currently, such a model cannot be fit by existing software. We apply the model to dynamically predict children's length conditional on prior length, weight, and baseline covariates. Inference on model parameters and subject-specific trajectories is conducted using the mixed effects representation of the proposed model. An extensive simulation study shows that the dynamic functional regression model provides more accurate estimation and inference than existing methods. Methods are supported by fast, flexible, open source software that uses heavily tested smoothing techniques.-Dynamic prediction in functional concurrent regression with an application to child growth.",0
"Clinical trials increasingly use results of diagnostic tests as surrogate outcomes. Our objective was to answer the following questions: (1) is the parameter measured by the reference standard a valid surrogate? (2) How does the tests accuracy influence the estimate of the treatment benefit on surrogate? (3) Is it possible to correct the measured treatment effect given by results of inaccurate tests? We reviewed the literature on asymptomatic deep venous thrombosis (DVT), detected by the reference standard and other imaging techniques, as surrogate for venous thromboembolism. The influence of test inaccuracy on the measurement of treatment benefit was calculated as a function of the patient baseline risk, the treatment effect model, and test performances. We show that: (1) asymptomatic DVT is correlated with clinical outcomes but is yet to be established as a surrogate; (2) inaccurate diagnostic test underestimates the treatment effect on surrogate; (3) the prevalence of the disease, the treatment effect model, and the accuracy of the test and the reference standard used to evaluate it need to be known to correct this underestimation. Even when the surrogate end point is valid, without a reliable study of the diagnostic test we cannot quantify the true treatment effect.-The true treatment benefit is unpredictable in clinical trials using surrogate outcome measured with diagnostic tests.",0
"Cluster-randomized experiments that assign intact groups such as schools or school districts to treatment conditions are increasingly common in educational research. Such experiments are inherently multilevel designs whose sensitivity (statistical power and precision of estimates) depends on the variance decomposition across levels. This variance decomposition is usually summarized by the intraclass correlation (ICC) structure and, if covariates are used, the effectiveness of the covariates in explaining variation at each level of the design. This article provides a compilation of school- and district-level ICC values of academic achievement and related covariate effectiveness based on state longitudinal data systems. These values are designed to be used for planning group-randomized experiments in education. The use of these values to compute statistical power and plan two- and three-level group-randomized experiments is illustrated. We fit several hierarchical linear models to state data by grade and subject to estimate ICCs and covariate effectiveness. The total sample size is over 4.8 million students. We then compare our average of state estimates with the national work by Hedges and Hedberg.-Intraclass Correlations and Covariate Outcome Correlations for Planning Two- and Three-Level Cluster-Randomized Experiments in Education.",1
"The World Health Organization and collaborating institutions in four developing countries have conducted a multi-centre randomized controlled trial, in which clinics were allocated at random to two antenatal care (ANC) models. These were the standard 'Western' ANC model and a 'new' ANC model consisting of tests, clinical procedures and follow-up actions scientifically demonstrated to be effective in improving maternal and newborn outcomes. The two models were compared using the equivalence approach. This paper discusses the implications of the equivalence approach in the sample size calculation, analysis and interpretation of results of this cluster randomized trial. It reviews the ethical aspects regarding informed consent, concluding that the Zelen design has a place in cluster randomization trials. It describes the estimation of the intracluster correlation coefficient (ICC) in a stratified cluster randomized trial using two methods and reports estimates of the ICC obtained for many maternal, newborn and perinatal outcomes. Finally, it discusses analytical problems that arose: issues encountered using a composite index, heterogeneity of the intervention effect across sites, the choice of the method of analysis and the importance of efficacy analyses. The choice of the clustered Woolf estimator and the generalized estimating equations (GEE) as the methods of analysis applied is discussed.-Methodological considerations on the design and analysis of an equivalence stratified cluster randomization trial.",1
"Insufficient sleep duration and obstructive sleep apnea, two common causes of sleep deficiency in adults, can result in excessive sleepiness, a well-recognized cause of motor vehicle crashes, although their contribution to crash risk in the general population remains uncertain. The objective of this study was to evaluate the relation of sleep apnea, sleep duration, and excessive sleepiness to crash risk in a community-dwelling population. This was a prospective observational cohort study nested within the Sleep Heart Health Study, a community-based study of the health consequences of sleep apnea. The participants were 1745 men and 1456 women aged 40-89 years. Sleep apnea was measured by home polysomnography and questionnaires were used to assess usual sleep duration and daytime sleepiness. A follow-up questionnaire 2 years after baseline ascertained driving habits and motor vehicle crash history. Logistic regression analysis was used to examine the relation of sleep apnea and sleep duration at baseline to the occurrence of motor vehicle crashes during the year preceding the follow-up visit, adjusting for relevant covariates. The population-attributable fraction of motor vehicle crashes was estimated from the sample proportion of motor vehicle crashes and the adjusted odds ratios for motor vehicle crash within each exposure category. Among 3201 evaluable participants, 222 (6.9%) reported at least one motor vehicle crash during the prior year. A higher apnea-hypopnea index (p &lt; 0.01), fewer hours of sleep (p = 0.04), and self-reported excessive sleepiness (p &lt; 0.01) were each significantly associated with crash risk. Severe sleep apnea was associated with a 123% increased crash risk, compared to no sleep apnea. Sleeping 6 hours per night was associated with a 33% increased crash risk, compared to sleeping 7 or 8 hours per night. These associations were present even in those who did not report excessive sleepiness. The population-attributable fraction of motor vehicle crashes was 10% due to sleep apnea and 9% due to sleep duration less than 7 hours. Sleep deficiency due to either sleep apnea or insufficient sleep duration is strongly associated with motor vehicle crashes in the general population, independent of self-reported excessive sleepiness.-Sleep deficiency and motor vehicle crash risk in the general population: a prospective cohort study.",0
"Cluster randomized and multicenter trials sometimes combine two treatments A and B in a factorial design, with conditions such as A, B, A and B, or none. This results in a two-way nested design. The usual issue of sample size and power now arises for various clinically relevant contrast hypotheses. Assuming a fixed total sample size at each level (number of clusters or centers, number of patients), we derive the optimal proportion of the total sample to be allocated to each treatment arm. We consider treatment assignment first at the highest level (cluster randomized trial) and then at the lowest level (multicenter trial). We derive the optimal allocation ratio for various sets of clinically relevant hypotheses. We then evaluate the efficiency of each allocation and show that the popular balanced design is optimal or highly efficient for a range of research questions except for contrasting one treatment arm with all other treatment arms. We finally present simple equations for the total sample size needed to test each effect of interest in a balanced design, as a function of effect size, power and type I error ?. All results are illustrated on a cluster-randomized trial on smoking prevention in primary schools and on a multicenter trial on lifestyle improvement in general practices.-Efficient treatment allocation in two-way nested designs.",1
"Cluster randomized trials, where individuals are randomized in groups are increasingly being used in healthcare evaluation. The adoption of a clustered design has implications for design, conduct and analysis of studies. In particular, standard sample sizes have to be inflated for cluster designs, as outcomes for individuals within clusters may be correlated; inflation can be achieved either by increasing the cluster size or by increasing the number of clusters in the study. A sample size calculator is presented for calculating appropriate sample sizes for cluster trials, whilst allowing the implications of both methods of inflation to be considered.-Sample size calculator for cluster randomized trials.",1
"Clustered data are common in many fields. Some prominent examples of clustering are employees clustered within supervisors, students within classrooms, and clients within therapists. Many methods exist that explicitly consider the dependency introduced by a clustered data structure, but the multitude of available options has resulted in rigid disciplinary preferences. For example, those working in the psychological, organizational behavior, medical, and educational fields generally prefer mixed effects models, whereas those working in economics, behavioral finance, and strategic management generally prefer fixed effects models. However, increasingly interdisciplinary research has caused lines that separate the fields grounded in psychology and those grounded in economics to blur, leading to researchers encountering unfamiliar statistical methods commonly found in other disciplines. Persistent discipline-specific preferences can be particularly problematic because (a) each approach has certain limitations that can restrict the types of research questions that can be appropriately addressed, and (b) analyses based on the statistical modeling decisions common in one discipline can be difficult to understand for researchers trained in alternative disciplines. This can impede cross-disciplinary collaboration and limit the ability of scientists to make appropriate use of research from adjacent fields. This article discusses the differences between mixed effects and fixed effects models for clustered data, reviews each approach, and helps to identify when each approach is optimal. We then discuss the within-between specification, which blends advantageous properties of each framework into a single model. (PsycINFO Database Record (c) 2019 APA, all rights reserved).-Fixed effects models versus mixed effects models for clustered data: Reviewing the approaches, disentangling the differences, and making recommendations.",1
"To identify features of clinical decision support systems critical for improving clinical practice. Systematic review of randomised controlled trials. Literature searches via Medline, CINAHL, and the Cochrane Controlled Trials Register up to 2003; and searches of reference lists of included studies and relevant reviews. Studies had to evaluate the ability of decision support systems to improve clinical practice. Studies were assessed for statistically and clinically significant improvement in clinical practice and for the presence of 15 decision support system features whose importance had been repeatedly suggested in the literature. Seventy studies were included. Decision support systems significantly improved clinical practice in 68% of trials. Univariate analyses revealed that, for five of the system features, interventions possessing the feature were significantly more likely to improve clinical practice than interventions lacking the feature. Multiple logistic regression analysis identified four features as independent predictors of improved clinical practice: automatic provision of decision support as part of clinician workflow (P &lt; 0.00001), provision of recommendations rather than just assessments (P = 0.0187), provision of decision support at the time and location of decision making (P = 0.0263), and computer based decision support (P = 0.0294). Of 32 systems possessing all four features, 30 (94%) significantly improved clinical practice. Furthermore, direct experimental justification was found for providing periodic performance feedback, sharing recommendations with patients, and requesting documentation of reasons for not following recommendations. Several features were closely correlated with decision support systems' ability to improve patient care significantly. Clinicians and other stakeholders should implement clinical decision support systems that incorporate these features whenever feasible and appropriate.-Improving clinical practice using clinical decision support systems: a systematic review of trials to identify features critical to success.",0
"Cluster randomization trials are randomized controlled trials (RCTs) in which intact clusters of subjects are randomized to either the intervention or to the control. Cluster randomization trials require different statistical methods of analysis than do conventional randomized controlled trials due to the potential presence of within-cluster homogeneity in responses. A variety of statistical methods have been proposed in the literature for the analysis of cluster randomization trials with binary outcomes. However, little is known about the relative statistical power of these methods to detect a statistically significant intervention effect. We conducted a series of Monte Carlo simulations to examine the statistical power of three methods that compare cluster-specific response rates between arms of the trial: the t-test, the Wilcoxon rank sum test, and the permutation test; and three methods that compare subject-level response rates: an adjusted chi-square test, a logistic-normal random effects model, and a generalized estimating equations (GEE) method. In our simulations we allowed the number of clusters, the number of subjects per cluster, the intraclass correlation coefficient and the magnitude of the intervention effect to vary. We demonstrated that the GEE approach tended to have the highest power for detecting a statistically significant intervention effect. However, in most of the 240 scenarios examined, the differences between the competing statistical methods were negligible. The largest mean difference in power between any two different statistical methods across the 240 scenarios was 0.02. The largest observed difference in power between two different statistical methods across the 240 scenarios and 15 pair-wise comparisons of methods was 0.14.-A comparison of the statistical power of different methods for the analysis of cluster randomization trials with binary outcomes.",1
"In recent years, the availability of infectious disease counts in time and space has increased, and consequently, there has been renewed interest in model formulation for such data. In this paper, we describe a model that was motivated by the need to analyze hand, foot, and mouth disease surveillance data in China. The data are aggregated by geographical areas and by week, with the aims of the analysis being to gain insight into the space-time dynamics and to make short-term predictions, which will aid in the implementation of public health campaigns in those areas with a large predicted disease burden. The model we develop decomposes disease-risk into marginal spatial and temporal components and a space-time interaction piece. The latter is the crucial element, and we use a tensor product spline model with a Markov random field prior on the coefficients of the basis functions. The model can be formulated as a Gaussian Markov random field and so fast computation can be carried out using the integrated nested Laplace approximation approach. A simulation study shows that the model can pick up complex space-time structure and our analysis of hand, foot, and mouth disease data in the central north region of China provides new insights into the dynamics of the disease.-Bayesian penalized spline models for the analysis of spatio-temporal count data.",0
"Treatment non-adherence in randomised trials refers to situations where some participants do not receive their allocated treatment as intended. For cluster randomised trials, where the unit of randomisation is a group of participants, non-adherence may occur at the cluster or individual level. When non-adherence occurs, randomisation no longer guarantees that the relationship between treatment receipt and outcome is unconfounded, and the power to detect the treatment effects in intention-to-treat analysis may be reduced. Thus, recording adherence and estimating the causal treatment effect adequately are of interest for clinical trials. To assess the extent of reporting of non-adherence issues in published cluster trials and to establish which methods are currently being used for addressing non-adherence, if any, and whether clustering is accounted for in these. We systematically reviewed 132 cluster trials published in English in 2011 previously identified through a search in PubMed. One-hundred and twenty three cluster trials were included in this systematic review. Non-adherence was reported in 56 cluster trials. Among these, 19 reported a treatment efficacy estimate: per protocol in 15 and as treated in 4. No study discussed the assumptions made by these methods, their plausibility or the sensitivity of the results to deviations from these assumptions. The year of publication of the cluster trials included in this review (2011) could be considered a limitation of this study; however, no new guidelines regarding the reporting and the handling of non-adherence for cluster trials have been published since. In addition, a single reviewer undertook the data extraction. To mitigate this, a second reviewer conducted a validation of the extraction process on 15 randomly selected reports. Agreement was satisfactory (93%). Despite the recommendations of the Consolidated Standards of Reporting Trials statement extension to cluster randomised trials, treatment adherence is under-reported. Among the trials providing adherence information, there was substantial variation in how adherence was defined, handled and reported. Researchers should discuss the assumptions required for the results to be interpreted causally and whether these are scientifically plausible in their studies. Sensitivity analyses to study the robustness of the results to departures from these assumptions should be performed.-Reporting non-adherence in cluster randomised trials: A systematic review.",1
"Emergent principles for the design, implementation, and analysis of cluster-based experiments in social science",1
"This study reports intraclass correlation (ICC) for dependent variables used in group-randomized trials (GRTs). The authors also document the effect of two methods suggested to reduce the impact of ICC in GRTs; these two methods are modeling time and regression adjustment for covariates. They coded and analyzed 1,188 ICC estimates from 17 published, in press, and unpublished articles representing 21 studies. Findings confirm that both methods can improve the efficiency of analyses shown to be valid across conditions common in GRTs. Investigators planning GRTs should obtain ICC estimates matched to their planned analysis so that they can size their studies properly.-Methods to reduce the impact of intraclass correlation in group-randomized trials.",1
"We address estimation of intervention effects in experimental designs in which (a) interventions are assigned at the cluster level; (b) clusters are selected to form pairs, matched on observed characteristics; and (c) intervention is assigned to one cluster at random within each pair. One goal of policy interest is to estimate the average outcome if all clusters in all pairs are assigned control versus if all clusters in all pairs are assigned to intervention. In such designs, inference that ignores individual level covariates can be imprecise because cluster-level assignment can leave substantial imbalance in the covariate distribution between experimental arms within each pair. However, most existing methods that adjust for covariates have estimands that are not of policy interest. We propose a methodology that explicitly balances the observed covariates among clusters in a pair, and retains the original estimand of interest. We demonstrate our approach through the evaluation of the Guided Care program.-Estimation of treatment effects in matched-pair cluster randomized trials by calibrating covariate imbalance between clusters.",1
"Patient outcomes can depend on the treating centre, or health professional, delivering the intervention. A health professional's skill in delivery improves with experience, meaning that outcomes may be associated with learning. Considering differences in intervention delivery at trial design will ensure that any appropriate adjustments can be made during analysis. This work aimed to establish practice for the allowance of clustering and learning effects in the design and analysis of randomised multicentre trials. A survey that drew upon quotes from existing guidelines, references to relevant publications and example trial scenarios was delivered. Registered UK Clinical Research Collaboration Registered Clinical Trials Units were invited to participate. Forty-four Units participated (N?= 50). Clustering was managed through design by stratification, more commonly by centre than by treatment provider. Managing learning by design through defining a minimum expertise level for treatment provider was common (89%). One-third reported experience in expertise-based designs. The majority of Units had adjusted for clustering during analysis, although approaches varied. Analysis of learning was rarely performed for the main analysis (n?= 1), although it was explored by other means. The insight behind the approaches used within and reasons for, or against, alternative approaches were provided. Widespread awareness of challenges in designing and analysing multicentre trials is identified. Approaches used, and opinions on these, vary both across and within Units, indicating that approaches are dependent on the type of trial. Agreeing principles to guide trial design and analysis across a range of realistic clinical scenarios should be considered.-Managing clustering effects and learning effects in the design and analysis of multicentre randomised trials: a survey to establish current practice",2
"In multicentre trials, randomisation is often carried out using permuted blocks stratified by centre. It has previously been shown that stratification variables used in the randomisation process should be adjusted for in the analysis to obtain correct inference. For continuous outcomes, the two primary methods of accounting for centres are fixed-effects and random-effects models. We discuss the differences in interpretation between these two models and the implications that each pose for analysis. We then perform a large simulation study comparing the performance of these analysis methods in a variety of situations. In total, we assessed 378 scenarios. We found that random centre effects performed as well or better than fixed-effects models in all scenarios. Random centre effects models led to increases in power and precision when the number of patients per centre was small (e.g. 10 patients or less) and, in some scenarios, when there was an imbalance between treatments within centres, either due to the randomisation method or to the distribution of patients across centres. With small samples sizes, random-effects models maintained nominal coverage rates when a degree-of-freedom (DF) correction was used. We assessed the robustness of random-effects models when assumptions regarding the distribution of the centre effects were incorrect and found this had no impact on results. We conclude that random-effects models offer many advantages over fixed-effects models in certain situations and should be used more often in practice.-Analysis of multicentre trials with continuous outcomes: when and how should we account for centre effects?",1
"Environmental factors, including infectious agents, are speculated to play a role in the rising prevalence and the geographic distribution of celiac disease, an autoimmune disorder. In the USA and Sweden where the regional variation in the frequency of celiac disease has been studied, a similarity with the geographic distribution of Lyme disease, an emerging multisystemic infection caused by Borrelia burgdorferi spirochetes, has been found, thus raising the possibility of a link. We aimed to determine if infection with Borrelia contributes to an increased risk of celiac disease. Biopsy reports from all of Sweden's pathology departments were used to identify 15,769 individuals with celiac disease. Through linkage to the nationwide Patient Register, we compared the rate of earlier occurrence of Lyme disease in the patients with celiac disease to that in 78,331 matched controls. To further assess the temporal relationship between Borrelia infection and celiac disease, we also examined the risk of subsequent Lyme disease in patients with a diagnosis of celiac disease. Twenty-five individuals (0.16%) with celiac disease had a prior diagnosis of Lyme disease, whereas 79 (0.5%) had a subsequent diagnosis of Lyme disease. A modest association between Lyme disease and celiac disease was seen both before (odds ratio, 1.61; 95% confidence interval (CI), 1.06-2.47) and after the diagnosis of celiac disease (hazard ratio, 1.82; 95% CI, 1.40-2.35), with the risk of disease being highest in the first year of follow-up. Only a minor fraction of the celiac disease patient population had a prior diagnosis of Lyme disease. The similar association between Lyme disease and celiac disease both before and after the diagnosis of celiac disease is strongly suggestive of surveillance bias as a likely contributor. Taken together, the data indicate that Borrelia infection is not a substantive risk factor in the development of celiac disease.-Borrelia infection and risk of celiac disease.",0
"Vaccination in populations can have several kinds of effects. Establishing that vaccination produces population-level effects beyond the direct effects in the vaccinated individuals can have important consequences for public health policy. Formal methods have been developed for study designs and analysis that can estimate the different effects of vaccination. However, implementing field studies to evaluate the different effects of vaccination can be expensive, of limited generalizability, or unethical. It would be advantageous to use routinely collected data to estimate the different effects of vaccination. We consider how different types of data are needed to estimate different effects of vaccination. The examples include rotavirus vaccination of young children, influenza vaccination of elderly adults, and a targeted influenza vaccination campaign in schools. Directions for future research are discussed. Copyright ? 2017 John Wiley &amp; Sons, Ltd.-Estimating population effects of vaccination using large, routinely collected data.",0
"To examine the relation between health and several dimensions of sexuality and to estimate years of sexually active life across sex and health groups in middle aged and older adults. Cross sectional study. Two samples representative of the US population: MIDUS (the national survey of midlife development in the United States, 1995-6) and NSHAP (the national social life, health and ageing project, 2005-6). 3032 adults aged 25 to 74 (1561 women, 1471 men) from the midlife cohort (MIDUS) and 3005 adults aged 57 to 85 (1550 women, 1455 men) from the later life cohort (NSHAP). Sexual activity, quality of sexual life, interest in sex, and average remaining years of sexually active life, referred to as sexually active life expectancy. Overall, men were more likely than women to be sexually active, report a good quality sex life, and be interested in sex. These gender differences increased with age and were greatest among the 75 to 85 year old group: 38.9% of men compared with 16.8% of women were sexually active, 70.8% versus 50.9% of those who were sexually active had a good quality sex life, and 41.2% versus 11.4% were interested in sex. Men and women reporting very good or excellent health were more likely to be sexually active compared with their peers in poor or fair health: age adjusted odds ratio 2.2 (P&lt;0.01) for men and 1.6 (P&lt;0.05) for women in the midlife study and 4.6 (P&lt;0.001) for men and 2.8 (P&lt;0.001) for women in the later life study. Among sexually active people, good health was also significantly associated with frequent sex (once or more weekly) in men (adjusted odds ratio 1.6 to 2.1), with a good quality sex life among men and women in the midlife cohort (adjusted odds ratio 1.7), and with interest in sex. People in very good or excellent health were 1.5 to 1.8 times more likely to report an interest in sex than those in poorer health. At age 30, sexually active life expectancy was 34.7 years for men and 30.7 years for women compared with 14.9 to 15.3 years for men and 10.6 years for women at age 55. This gender disparity attenuated for people with a spouse or other intimate partner. At age 55, men in very good or excellent health on average gained 5-7 years of sexually active life compared with their peers in poor or fair health. Women in very good or excellent health gained 3-6 years compared with women in poor or fair health. Sexual activity, good quality sexual life, and interest in sex were higher for men than for women and this gender gap widened with age. Sexual activity, quality of sexual life, and interest in sex were positively associated with health in middle age and later life. Sexually active life expectancy was longer for men, but men lost more years of sexually active life as a result of poor health than women.-Sex, health, and years of sexually active life gained due to good health: evidence from two US population based cross sectional surveys of ageing.",0
"In group randomized studies, the sample size calculations are complicated by within group (worksite, community, etc.) correlation. We compare by simulation the moment method and the more standard ANOVA method of estimating the intraclass correlation. We find the former is less biased for a small to moderate number of clusters but the difference disappears when the appropriate degree of freedom is used for the ANOVA estimator. We propose a simulation approach for sample size determination and illustrate it with an example.-Correlated binomial variates: properties of estimator of intraclass correlation and its effect on sample size calculation.",1
"Consider a comparative, randomized clinical study with a specific event time as the primary end point. In the presence of censoring, standard methods of summarizing the treatment difference are based on Kaplan-Meier curves, the logrank test, and the point and interval estimates via Cox's procedure. Moreover, for designing and monitoring the study, one usually utilizes an event-driven scheme to determine the sample sizes and interim analysis time points. When the proportional hazards (PHs) assumption is violated, the logrank test may not have sufficient power to detect the difference between two event time distributions. The resulting hazard ratio estimate is difficult, if not impossible, to interpret as a treatment contrast. When the event rates are low, the corresponding interval estimate for the 'hazard ratio' can be quite large due to the fact that the interval length depends on the observed numbers of events. This may indicate that there is not enough information for making inferences about the treatment comparison even when there is no difference between two groups. This situation is quite common for a postmarketing safety study. We need an alternative way to quantify the group difference. Instead of quantifying the treatment group difference using the hazard ratio, we consider an easily interpretable and model-free parameter, the integrated survival rate difference over a prespecified time interval, as an alternative. We present the inference procedures for such a treatment contrast. This approach is purely nonparametric and does not need any model assumption such as the PHs. Moreover, when we deal with equivalence or noninferiority studies and the event rates are low, our procedure would provide more information about the treatment difference. We used a cardiovascular trial data set to illustrate our approach. The results using the integrated event rate differences have a heuristic interpretation for the treatment difference even when the PHs assumption is not valid. When the event rates are low, for example, for the cardiovascular study discussed in this article, the procedure for the integrated event rate difference provides tight interval estimates in contrast to those based on the event-driven inference method. The design of a trial with the integrated event rate difference may be more complicated than that using the event-driven procedure. One may use simulation to determine the sample size and the estimated duration of the study. The procedure discussed in this article can be a useful alternative to the standard PHs method in the survival analysis.-Utilizing the integrated difference of two survival functions to quantify the treatment contrast for designing, monitoring, and analyzing a comparative clinical study.",0
"The Poisson regression model using a sandwich variance estimator has become a viable alternative to the logistic regression model for the analysis of prospective studies with independent binary outcomes. The primary advantage of this approach is that it readily provides covariate-adjusted risk ratios and associated standard errors. In this article, the model is extended to studies with correlated binary outcomes as arise in longitudinal or cluster randomization studies. The key step involves a cluster-level grouping strategy for the computation of the middle term in the sandwich estimator. For a single binary exposure variable without covariate adjustment, this approach results in risk ratio estimates and standard errors that are identical to those found in the survey sampling literature. Simulation results suggest that it is reliable for studies with correlated binary data, provided the total number of clusters is at least 50. Data from observational and cluster randomized studies are used to illustrate the methods.-Extension of the modified Poisson regression model to prospective studies with correlated binary data.",1
"Sample size requirements are provided for designs of studies in which clusters are randomized within each of several strata, where cluster size itself may be a stratifying factor. The approach generalizes a formula derived by Woolson et al., which provides sample size requirements for the Cochran-Mantel-Haenszel statistic. Issues of data analysis are also discussed.-Sample size requirements for stratified cluster randomization designs.",1
"In lifestyle intervention trials, where the goal is to change a participant's weight or modify their eating behavior, self-reported diet is a longitudinal outcome variable that is subject to measurement error. We propose a statistical framework for correcting for measurement error in longitudinal self-reported dietary data by combining intervention data with auxiliary data from an external biomarker validation study where both self-reported and recovery biomarkers of dietary intake are available. In this setting, dietary intake measured without error in the intervention trial is missing data and multiple imputation is used to fill in the missing measurements. Since most validation studies are cross-sectional, they do not contain information on whether the nature of the measurement error changes over time or differs between treatment and control groups. We use sensitivity analyses to address the influence of these unverifiable assumptions involving the measurement error process and how they affect inferences regarding the effect of treatment. We apply our methods to self-reported sodium intake from the PREMIER study, a multi-component lifestyle intervention trial.-Measurement error correction and sensitivity analysis in longitudinal dietary intervention studies using an external validation study.",0
